ssdl:pid,ssdl:scoringSummary,ssdl:totalScoring,ssdl:dimensions
1909-Briefh-UKY,"(Coro), (cor), trb (3), b-trb","(Coro S)
(Coro A)
(Coro T)
(Coro B)
(cor)
trb (3)
b-trb",23.5 x 15.5 cm
1915-Soulst-UKY,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1919-Navyso-UKY,"V, (banda)","V
(banda)",10 x 13.5 cm
1921-Waveso-UKY,,,21.5 x 15 cm
1875-Choira-UKY,"V (6-7), Sprechstimme, Coro, keyb","S (2)
A
Contra-A
T 
(Bariton)
B
Sprechstimme
Coro 1: S (2)
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",22.5 x 19 cm
1882-Christ-UKY,"S, Coro","S
Coro S
Coro A
Coro T
Coro B",22 x 16 cm
1885-Christ-UKY,Nil,Nil,17 x 14 cm
1898-Crowni-UKY,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",21 x 14 cm
1901-Planta-UKY,"S (T), pf","S (T)
pf",30.5 x 23 cm
1908-Crowni-UKY-deprecated,,,
1911-Neweva-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",20 x 13 cm
1917-Nobody-UKY,"A (Bariton), pf","A (Bariton)
pf",31 x 24 cm
1918-Bigqua-UKY,"V (5), Coro maschile, keyb","T (2)
B (3)
Coro maschile T (2)
Coro maschile B (2)
keyb",20.5 x 13.5 cm
1918-ChantN-UKY,"vl, pf","vl
pf",30.5 x 23 cm
1919-Things-UKY,"S (T), pf","S (T)
pf",30 x 22.5 cm
1924-Fiftye-UKY,"V (4-6), Coro, pf","S (1-2)
A
T
(Bariton)
B
Coro S (2)
Coro A
Coro T (2)
Coro B (2)
pf",27.5 x 20 cm
1925-Twelve-UKY,"S (T), pf","S (T)
pf",31 x 24.5 cm
1926-Dontle-UKY,"S (T), pf","S (T)
pf",30.5 x 23.5 cm
192x-Wonder-UKY,"Coro, (keyb)","Coro S
Coro A
Coro T
Coro B 
(keyb)",21 x 14.5 cm
1877-Choice-UKY,Nil,Nil,15.5 x 11 cm
1878-Gabrie-UKY,"S, Coro di fanciulli, Coro, keyb","S
Coro di fanciulli S (2)
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14.5 x 18 cm
1881-Crowno-UKY,"V (4), Coro, keyb","Treble
A
T
B
Coro Treble
Coro A
Coro T
Coro B
keyb",17 x 24.5 cm
1883-Christ-UKY,"V (2), Coro, keyb","S
A
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B 
(Coro 2: B)
keyb",20 x 15.5 cm
1892-Founta-UKY,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",14.5 x 18 cm
1895-Christ-UKY,"V (4), Coro di fanciulli, Coro, org","S
A
T
B
Coro di fanciulli S
Coro S (2)
Coro di fanciulli A
Coro A (2)
Coro 1: T
Coro 2: T (2)
Coro 1: B
Coro 2: B (2)
org",22.5 x 15.5 cm
1907-Fiftyt-UKY,Nil,Nil,20.5 x 14.5 cm
1908-Crowni-UKY,"V (5), Coro, org","S
A
Contra-A
T 
B
Coro S
Coro A
Coro T
Coro B
org",21 x 14 cm
1911-Greate-UKY,"V (2-5), Coro di fanciulli, Coro, keyb","S
A
(Contra-A)
(T)
(Bariton)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14.5 cm
1916-Golden-UKY,"V (4-6), Coro, keyb","S
A
T (2)
(Bariton)
(B)
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 14 cm
1916-Gospel-UKY,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",20.5 x 14 cm
1922-Firstb-UKY,"(S), Sprechstimme, Coro di fanciulli, pf","(S)
Sprechstimme
Coro di fanciulli S
pf",20.5 x 15.5 cm
1873-Hermon-UKY,"V (5-6), Coro, org","S
Treble
(Mezzo-S)
A
T
B
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
org",17 x 25 cm
1879-Joytow-UKY,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",18 x 12.5 cm
1881-Greatj-UKY,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",20 x 13.5 cm
1882-Hourso-UKY,"V (4), Coro di fanciulli, Coro","S
A
T
B
Coro di fanciulli S
Coro S
Coro di fanciulli A
eriererCoro A
Coro T
Coro B",19.5 x 14 cm
1884-Gospel-UKY,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",13.75 x 17.5 cm
1887-Harves-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1889-Neuekl-UKY,,,16 x 12.5 cm
1890-Evange-UKY,Coro,"Coro 1: V
Coro 2: V",15.5 x 10.5 cm
1892-Garner-UKY,"V (6), Coro, org, pf","S (2)
A
T
Bariton
B
Coro di fanciulli S (2)
Coro S
(Coro 2: S)
Coro A
(Coro 2: A)
Coro T
(Coro 2: T)
Coro B
(Coro 2: B)
org
pf",16 x 19 cm
1894-Himnar-UKY,,,21 x 16 cm
1901-Hymnso-UKY,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",20 x 13.5 cm
1903-Joyful-UKY,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1910-Gospel-UKY,"V (2), Coro di fanciulli, Coro","S
A
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
(keyb)",19.5 x 13.5 cm
1911-Hymnso-UKY,"V (2-3), Coro, Coro maschile, keyb","S
(A)
T
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",17 x 13 cm
1924-Fullgo-UKY,"V (5), Coro di fanciulli, Coro, keyb","S (2)
A (2)
T
Coro di fanciulli S
Coro S 
Coro di fanciulli A
Coro A 
Coro T
Coro B
keyb",19.5 x 13.5 cm
1859-Pastor-UKY,"Coro, (org)","Coro S
Coro A
Coro T
Coro B
(org)",20 x 14 cm
1874-Palmer-UKY,"V (5-6), Coro di fanciulli, Coro, keyb","S (2)
A
(Contra-A)
T
B
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",14 x 18 cm
1879-Newcho-UKY,"V (8), Coro di fanciulli, Coro (3), org","S (2)
A
Contra-A
T (2)
Bariton
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 3: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 3: T
Coro 1: B
Coro 2: B
org",22.5 x 19 cm
1880-Sharon-UKY,"V (2-4), Coro","S
A
(T)
(B)
Coro S
Coro A
Coro T
Coro B",21 x 14.5 cm
1886-Newsta-UKY,Coro,"Coro Treble
Coro A
Coro T
Coro B",15 x 18 cm
1887-NewChr-UKY,"V (3), Coro (2), keyb","S
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",18.5 x 13.5 cm
1891-Perenn-UKY,"3, Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",19 x 14 cm
1894-Newlif-UKY,"V (3-4), Coro di fanciulli, Coro, org","S (2)
A (1-2)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
org",15 x 17.5 cm
1895-Newtun-UKY,"V (4-5), Coro, org","S
A
T
(Bariton)
B
Coro S
Coro A
Coro T
Coro B
org",15 x 24 cm
1899-Notes1-UKY,"V (5), Coro, keyb","S (2) 
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1907-NewChr-UKY,"V (4), Coro, org (pf)","S
A
T
B
Coro S
Coro A
Coro T
Coro B
org (pf)",21.5 x 15 cm
1925-Realiz-UKY,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",23.5 x 16 cm
1853-Prairi-UKY,"V (5), Coro, keyb, b.fig","S (2)
A
T
B
Coro Treble
Coro A
Coro T
Coro B
keyb
b
b.fig",
1851-Christ-UMI,"Coro, keyb","Coro Treble (2)
Coro A 
Coro T
Coro B
keyb",16 x 25 cm
1858-Harmon-UMI,Coro,"Coro Treble
Coro T
Coro B",15 x 24 cm
1858-Jubile-UMI,,,17 x 25 cm
1861-Soldie-UMI,Nil,Nil,12 x 8 cm
1867-Slaves-UMI,V,V,
1871-Harmon-UMI,Coro,"Coro Treble
Coro A
Coro T
Coro B",16 x 25 cm
1872-Brethr-UMI,Coro,"Coro S
Coro T
Coro B",20 x 14 cm
1872-Jubile-UMI,"S, Coro, (pf)","S
Coro S
Coro A
Coro T
Coro B
(pf)",25 x 16 cm
1878-Himnar-UMI,,,22 x 16 cm
1878-Keepin-UMI,"S (T), Coro, pf","S (T)
(Coro S)
Coro A
Coro T
Coro B
pf",35 x 27 cm
1880-Gospel-UMI,"S (T), Coro, pf","S (T)
(Coro S)
Coro A
Coro T
Coro B
pf",35 x 27 cm
1880-Dontyo-UMI,"S (T), Coro, pf","S (T)
(Coro S)
Coro A
Coro T
Coro B
pf",35 x 27 cm
1880-Risemy-UMI,"S (T), Coro, pf","S (T)
(Coro S)
Coro A
Coro T
Coro B
pf",35 x 27 cm
1880-Waitmy-UMI,"S (T), Coro, pf","S (T)
(Coro S)
Coro A
Coro T
Coro B
pf",35 x 27 cm
1881-Gospel-UMI,"S, A, Coro, keyb","S
A
Coro S (2)
Coro A
Coro T
Coro B
keyb",21 x 13 cm
1882-Songso-UMI,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1884-Goodti-UMI,"V (4), Coro","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B",15 x 19 cm
1884-Select-UMI,"V (4), Coro","S
A
T
B
Coro S
Coro A
Coro T
Coro B",
1887-Gospel-UMI,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21 x 13 cm
1894-Spirit-UMI,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",23 x 16 cm
1895-Gospel-UMI,"S (T), pf","S (T)
pf",35 x 27 cm
1897-Songso-UMI,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1898-Chorus-UMI,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",21 x 14 cm
1850-Southe-EMU,Coro,"Coro Treble (2)
Coro Counter
Coro T
Coro B",
1853-Americ-EMU,Coro,"Coro Treble
Coro T
Coro B",
1872-Palmer-EMU,"V (6), Coro, org","S (2)
Treble
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",
1875-Collec-EMU,Nil,Nil,
1877-Royalf-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1879-Carmin-EMU,"V (6), Coro, keyb","Treble
A
T (2)
B  (2)
Coro Treble
(Coro 2: Treble)
Coro A
(Coro 2: A)
Coro T
(Coro 2: T)
Coro B
(Coro 2: B)
keyb",
1884-Beauty-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1884-Gemsof-EMU,Nil,Nil,
1884-Jesus2-EMU,"Sprechstimme (2), V (4-5), Coro, keyb","Sprechstimme (2)
S (2)
A
(T)
(Bariton)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1886-Newli2-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1887-Battle-EMU,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S (2)
Coro di fanciulli A
Coro A (2)
Coro T (2)
Coro B (2)
keyb",
1887-Dainty-EMU,"V (10), Coro di fanciulli, keyb","S (9)
A 
Coro di fanciulli S
Coro di fanciulli A
keyb",
1887-Gladev-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",
1887-Glorya-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
Bariton
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1887-Harves-EMU,"V (2-4), Coro di fanciulli, Coro, keyb","S
A
(T)
(B)
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A 
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",
1887-Loving-EMU,"V (3), Coro, campana, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
campana
keyb",
192x-Worsh1-EMU,"V (2), Coro, pf","S
A
Coro S (2)
Coro A 
Coro T 
Coro B
pf",
1890-Pearls-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1890-Anthem-EMU,"V (5-6), Coro, org","S
(Mezzo-S)
A
T
Bariton
B
Coro 1: S
Coro 2: S
Coro 3: S
Coro 1: A
Coro 2: A
Coro 3: A
Coro 1: T
Coro 2: T
Coro 3: T
Coro 1: B
Coro 2: B
Coro 3: B
org",
1892-Gospel-EMU,"V (7), Sprechstimme, Coro, keyb","S (5)
A
Bariton
Sprechstimme 
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1892-Songla-EMU,"V (4), (Sprechstimme), Coro, keyb","S
A
T
B
(Sprechstimme)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1893-Hymnst-EMU,Nil,Nil,
1894-Sunshi-EMU,"V (4), Sprechstimme, Coro di fanciulli, keyb","S
A
T
B
Sprechstimme (5)
Coro di fanciulli S (2)
Coro di fanciulli A
Coro T
Coro B
keyb",
1895-Caroli-EMU,"V (2), Coro","S
A
Coro S
Coro A
Coro T
Coro B",
1895-Celest-EMU,"V (4), Coro di fanciulli, Coro, org","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
org",
1896-Bellso-EMU,"Hymnals;Hymns, English;Portrait drawing;Sunday school music;Church music;Revival hymns;Camp meetings;Booksellers and bookselling;Pictorial bindings;Hymnals--Prices;Musical notation--Economic aspects;F.H. Gilson Company;Metcalf, Frank J. (Frank Johnson), 1865-1945--Provenance;Hartford Theological Seminary--Provenance;American Antiquarian Society--Provenance;Shape-note hymnals;Choruses, sacred (mixed voices), unaccompanied;Choruses, sacred (mixed voices) with organ;Sacred songs with organ;Composition (Music);Women composers;Gospel music",,
1896-Bestst-EMU,"V (4-5), Coro, keyb","S
(Mezzo-S)
A
T
B
Coro S 
(Coro 2: S)
Coro A
(Coro 2: A)
Coro T
(Coro 2: T)
Coro B 
(Coro 2: B)
keyb",
1896-Crowni-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1896-Fillmo-EMU,"V (5), Coro maschile, (keyb)","T (2)
Bariton
B (2)
Coro maschile T (2)
Coro maschile B (2)
(keyb)",
1896-Sacred-EMU,"V (3), Coro maschile, org","T (2)
B
Coro maschile T (2)
Coro maschile B (2)
org",
1896-Sunlig-EMU,"V (6), Coro, org","S
A
T (2)
B (2)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",
1896-Uplift-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1897-Corona-EMU,"V (6), Coro, org","S
A
T (2)
B (2)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",
1897-Fillmo-EMU,"V (5), Coro maschile, keyb","T (2)
Bariton
B (2)
Coro maschile T (2)
Coro maschile B (2)
keyb",
1897-Gospe1-EMU,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1897-Gospe2-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1897-Reviva-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1897-Songla-EMU,"V (3-4), Coro, org","S
A
T
(B)
Coro S
Coro A
Coro T (2)
Coro B (2)
org",
1897-Songso-EMU,"V (4-6), Coro, keyb","S (1-2)
(Mezzo-S)
A
T
B
Coro S
(Coro 2: S)
Coro A 
(Coro 2: A)
Coro T 
(Coro 2: T)
Coro B 
(Coro 2: B)
keyb",
1899-Gospe1-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1899-Gospe2-EMU,"V (2), Coro, keyb","(S)
(A)
T
Coro S
Coro A
Coro T
Coro B
keyb",
1899-Hymnal-EMU,"Coro di fanciulli, Coro, org","Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
org",
1900-Childr-EMU,"V (7-8), Coro di fanciulli, keyb","S (7)
(A)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli A
keyb",
1900-Nation-EMU,"V (4), Coro, org","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
(kornetto)
(trb)
org",
1900-Newhar-EMU,"V (6), Coro, keyb","S
A 
T (2)
B (2)
Coro S
Coro A (2)
Coro T (2)
Coro B (2)
keyb",
1900-Ourtha-EMU,"V (2-4), Coro, keyb","S
A
(T)
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1900-Palace-EMU,"V (3), Sprechstimme, Coro, org","S (2)
Bariton
Sprechstimme
Coro di fanciulli 1: S (2)
Coro di fanciulli 2: S
Coro S
Coro di fanciulli A
Coro A 
Coro T
Coro B
org",
1900-Salvat-EMU,"V (3), Coro, keyb","S
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",
1900-Songss-EMU,"V, pf","V
pf",
1900-Vaugha-EMU,"V (6), Coro, org","S
A 
T (2)
B (2)
Coro S
Coro A
Coro T
Coro B
org",
1901-Aggres-EMU,"T, Coro maschile, keyb","T
Coro maschile T (2)
Coro maschile B (2)
keyb",
1901-Eureka-EMU,"V (2-4), Coro di fanciulli, Coro, keyb","S 
(A)
T 
(B)
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1901-Fillm1-EMU,"V (8), Coro maschile, org","T (4)
B (4)
Coro maschile T (2)
Coro maschile B (2)
org",
1901-Fillm2-EMU,"V (3-4), Coro femminile, pf","S (2)
A (1-2)
Coro femminile S (2)
Coro femminile A (2)
pf",
1901-Hackle-EMU,"V (4), keyb","T (2)
B (2)
keyb",
1901-Kirche-EMU,,,
1901-Manlyp-EMU,"V (5), Coro maschile, org","S
T (2)
B (2)
Coro maschile T (2)
Coro maschile B (2)
org",
1901-Newpsa-EMU,Nil,Nil,
1901-Youngp-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1902-Crowno-EMU,"V (6-7), Coro di fanciulli, Coro, keyb","S
A
T (2)
(Bariton)
B (2)
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T (2)
Coro B (2)
keyb",
1902-Eleven-EMU,"V (3-4), Coro, keyb","S
A
(T)
B
Coro S
Coro A
Coro T
Coro B
keyb",
1902-Joyful-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",
1902-Living-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1902-Onwing-EMU,"V (2-3), Coro, keyb","S
A
(T)
Coro S
Coro A
Coro T
Coro B
keyb",
1904-Gemsno-EMU,"V (3), keyb","S
A
B
Coro S
Coro A
Coro T
Coro B
keyb",
1904-Perfec-EMU,"V (2-4), Coro, (keyb)","S
(A)
T 
(B)
Coro S
Coro A
Coro T
Coro B
(keyb)",
1904-Temper-EMU,"V (3-5), Coro, org, keyb","S (2)
A 
(T)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org
keyb",
1905-Hymnso-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1905-Lobede-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
org
(keyb)",
1905-Reviva-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
(cl)
(kornetto)
keyb",
1905-Songsf-EMU,"V (7), Coro, keyb, org","S (2)
A 
T (2)
B (2)
Coro S
Coro A
Coro T
Coro B
keyb
org",
1905-Youngp-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1906-Golden-EMU,"(V (4)), Coro","(T (2))
(B (2))
Coro S (2)
Coro A
Coro T (2)
Coro B (2)",
1906-Gospel-EMU,"V (3), Coro, keyb","S
A
B
Coro S
Coro A
Coro T
Coro B
keyb",
1906-Hymna1-EMU,Nil,Nil,
1906-Hymna2-EMU,"V, Coro, keyb","V 
Coro S
Coro A
Coro T
Coro B
keyb",
1906-Jesuss-EMU,"S, Coro di fanciulli, Coro, keyb","S
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1906-Lastin-EMU,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1906-Sevent-EMU,"V (4), Coro, org (pf)","S
A
T
B
Coro S
Coro A
Coro T
Coro B
org (pf)",
1907-Bestof-EMU,,,
1907-Gospel-EMU,"V (7), Coro, vl, org","S (2)
A (2)
Contra-A
T
B
Coro S 
Coro A 
Coro Contra-A
Coro T (2)
Coro B (2)
vl
org",
1907-Himnar-EMU,,,
1907-Hymnso-EMU,V,V,
1907-Specia-EMU,"V (2-3), Coro di fanciulli, Coro, keyb","S
A
(T)
Coro di fanciulli S
Coro 1: S
Coro 2 :S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",
1907-Standa-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S (2)
Coro Treble
Coro di fanciulli A (2)
Coro A
Coro T
Coro B
keyb",
1907-Sunday-EMU,"V (5), Coro, keyb","S
A
T (2)
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1908-Chris1-EMU,"V (2-4), Coro, keyb","S
(A)
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Victor-EMU,"V (3-4), Coro di fanciulli, Coro, keyb","S
A
T
(B)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1909-Precio-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1915-Worldw-EMU,"V (3-4), Coro di fanciulli, Coro, keyb","S
A
T
(B)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1925-SaintH-EMU,"V, Coro, stck","V
(Lead)
(T) 
(Bariton)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B
Coro 2: B
kora
balanji
tamb (2)
pf",
1925-Songs2-EMU,"V (3), Coro, keyb","S
A
T
Coro S (2)
Coro A
Coro T 
Coro B
keyb",
1927-Spirit-EMU,"V, Coro, keyb","V
Coro S (2)
Coro A (2)
Coro T (2)
Coro B
keyb",
1850-Sacred-EMU,"V (5), Coro, keyb, b.fig","Treble (2)
A
T
B
Coro 1: Treble (2)
Coro 2: Treble
Coro 1: A
Coro 2: A
Coro T
Coro 1: B
Coro 2: B
keyb
b.fig",
1851-Songso-EMU,Nil,Nil,
1854-Outlin-EMU,Nil,Nil,
1859-Psalms-EMU,Nil,Nil,
1868-Baptis-EMU,Nil,Nil,
1889-Easte2-EMU,"V (2), Sprechstimme, Coro, org","S
A
Sprechstimme
(Coro di fanciulli S)
Coro S
Coro A
Coro T
Coro B
org",
1892-Zionsm-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1894-Choice-EMU,"V (3), Coro, keyb","S
A
Bariton
Coro S
Coro A
Coro T
Coro B
keyb",
1900-Manual-EMU,Nil,Nil,
1901-Electr-EMU,"V (2-3), Coro, keyb","S
A
(T)
Coro S
Coro A
Coro T
Coro B
keyb",
1901-Popula-EMU,"V (4), Coro, org","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1901-Standa-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1902-Crowni-EMU,"V (3), Coro, org","S
A
T
Coro S
Coro A
Coro T
Coro B
org",
1902-Fillmo-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1902-Tearsa-EMU,"V (2-4), Coro di fanciulli, Coro, keyb","S
(A)
T
(B)
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1903-Bellso-EMU,"V (8), Coro di fanciulli, Coro, org","S (2)
A
Contra-A
T (2)
B (2)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S (2)
Coro 2: S (2)
Coro 1: A (2)
Coro 2: A (2)
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
org",
1903-Echoes-EMU,"V (5), Coro, keyb","S
A
Contra-A
T
B
(Coro di fanciulli S)
Coro S
Coro A
Coro T
Coro B
keyb",
1903-Nation-EMU,"V (5), Coro, keyb","S (2)
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
