PID,ssdl:notation,location,Date,ssdl:shortTitle,Long,Lati
1868-Chapel-EMU,Round,"Cincinnati, OH",1868,Chapel Gems for Sunday Schools,-84.45,39.15
1868-Eclect-EMU,Nil,"Baltimore, MA",1868,The Eclectic Sabbath-School Hymn-Book,-76.6,39.2833
1868-Hymnsa-EMU,Round,"Cincinnati, OH",1868,Hymns and Tunes,-84.45,39.15
1868-School-EMU,Nil,"New York, NY",1868,School Lyrics,-74,40.7
1868-Shinin-EMU,Round,"Cincinnati, OH",1868,Shining Pearls,-84.45,39.15
1869-Songsf-EMU,Round,"Chicago, IL",1869,Songs for the New Life,-87.65,41.85
1871-Christ-EMU,Round,"Cincinnati, OH",1871,The Christian Hymnal,-84.45,39.15
1871-Kindwo-EMU,Round,"Memphis, TN",1871,Kind Words,-90.0333,35.1333
1872-Harfen-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1872,Harfen-Kl??nge,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1872-Newhar-EMU,Numeral staff;Round,"Cincinnati, OH",1872,The New Harp of Zion,-84.45,39.15
1873-Fruits-EMU,Seven-shape Walker,"Philadelphia, PA",1873,Fruits and Flowers,-75.15,39.95
1873-Hymnsf-EMU,Nil,"Nashville, TN",1873,Hymns for Schools and Families,-86.761,36.154
1873-Songsf-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1873,Songs for Worship,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1874-Bookof-EMU,Round,"Richmond, VA",1874,Book of Hymns and Tunes,-77.45,37.55
1874-Contri-EMU,Round,"Baltimore, MD",1874,Contributions to the Hymnody of the Church,-76.6,39.2833
1874-Everys-EMU,Round,"Cincinnati, OH",1874,Every Sabbath,-84.45,39.15
1874-Golden-EMU,Round,"Cincinnati, OH",1874,The Golden Gate,-84.45,39.15
1874-Palmof-EMU,Round,"St. Louis, MO",1874,The Palm of Victory,-90.1833,38.6167
1876-Bibles-EMU,Round,"Nashville, TN",1876,Bible Songs,-86.761,36.154
1875-Devoti-EMU,Nil,"Richmond, VA",1875,Devotional Hymns,-77.45,37.55
1875-Gospel-EMU,Round,"Cincinnati, OH",1875,The Gospel Trumpet,-84.45,39.15
1876-Melodi-EMU,Seven-shape Funk,"Singers Glen, VA",1876,Melodies of Praise,-78.9,38.55
1876-Storyo-EMU,Round,"London, United Kingdom",1876,The Story of the Jubilee Singers,.10203,51.52393
1877-Jasper-EMU,Round,"Cincinnati, OH;New York, NY",1877,Jasper and Gold,-84.45;-74,39.15;40.7
1877-Mornin-EMU,Round,"Cincinnati, OH;St. Louis, MO",1877,The Morning Star,-84.45;-90.1833,39.15;38.6167
1877-Newmel-EMU,Seven-shape Aikin,"Dayton, VA",1877,New Melodies of Praise,-78.9333,38.4
1878-Golden-EMU,Round,"Cincinnati, OH",1878,Golden Shore,-84.45,39.15
1878-Gospe1-EMU,Round,"Cincinnati, OH",1878,Gospel and Temperance Songs,-84.45,39.15
1878-Gospe2-EMU,Round,"Cincinnati, OH",1878,The Gospel Male Choir,-84.45,39.15
1878-Helpin-EMU,Round,"Cincinnati, OH",1878,The Helping Hand,-84.45,39.15
1878-Hymnal-EMU,Round,"Cincinnati, OH; New York, NY",1878,Hymnal of the Methodist Episcopal Church,-84.45;-74,39.15;40.7
1878-Lastwo-EMU,Seven-shape Aikin,"Dayton, VA;Nashville, TN",1878,Last Words,-78.9333;-86.761,38.4;36.154
1878-Revivi-EMU,Nil,"Lynchburg, VA",1878,Reviving Hymns for the New Life,0,0
1878-Tiding-EMU,Round,"Columbia, TN",1878,Tidings of Joy,-87.0333,35.6
1879-Bapti2-EMU,Round,"Louisville, KY",1879,Baptist Songs with Music,-85.75,38.25
1879-Primit-EMU,Round,"St. Louis, MO",1879,The Primitive Baptist Hymnal,-90.1833,38.6167
1879-Sacred-EMU,Nil,"Chattanooga, TN",1879,Sacred Melodies,-85.3,35.0333
1879-Songvi-EMU,Round,"Cincinnati, OH",1879,The Song Victor,-84.45,39.15
1879-Wreath-EMU,Round,"New York, NY;Atlanta, GA",1879,The Wreath of Gems,-74;-84.3833,40.7;33.7333
1880-Childr-EMU,Round,"Nashville, TN",1880,Children's Hosannas,-86.761,36.154
1880-Hymnsx-EMU,Nil,"Baltimore, MD",1880,Hymns,-76.6,39.2833
1880-Joyand-EMU,Round,"Cincinnati, OH",1880,Joy and Gladness,-84.45,39.15
1880-Newhy1-EMU,Round,"Nashville, TN",1880,The New Hymn and Tune Book,-86.761,36.154
1880-Newhy2-EMU,Nil,"Nashville, TN",1880,The New Hymn-Book.,-86.761,36.154
1880-Songse-EMU,Round,"Cincinnati, OH",1880,Songs Sermons,-84.45,39.15
1912-Tribut-EMU,Seven-shape Aikin,"Atlanta, GA",1912,Tribute of Praise,-84.3833,33.7333
1881-Evange-EMU,Round,"St. Charles, MO",1881,Evangelisches Gesangbuch,-90.4667,38.7833
1881-Himnar-EMU,Round,M??xico,1881,Himnario de la Iglesia Metodista Episcopal,-102,23
1881-Redeem-EMU,Round,"Cincinnati, OH;New York, NY",1881,Redeemer's Praise,-84.45;-74,39.15;40.7
1881-Twilig-EMU,Round,"St. Louis, MO",1881,Twilight Zephyrs,-90.1833,38.6167
1882-Gracea-EMU,Round,"Nashville, TN",1882,Grace and Glory,-86.761,36.154
1882-Juveni-EMU,Round,"Cincinnati, OH",1882,The Juvenile Class and Concert,-84.45,39.15
1882-NewChr-EMU,Round,"Cincinnati, OH",1882,New Christian Hymn and Tune-Book.,-84.45,39.15
1882-Psalms-EMU,Round,"Richmond, VA;New York, NY",1882,"Psalms and Hymns, and Spiritual Songs",-77.45;-74,37.55;40.7
1882-Realmo-EMU,Round,"Cincinnati, OH;Chicago, IL",1882,The Realm of Song,-84.45;-87.65,39.15;41.85
1882-Singin-EMU,Round,"Cincinnati, OH",1882,Singing on the Way,-84.45,39.15
1883-Better-EMU,Round,"Cincinnati, OH",1883,Better than Gold,-84.45,39.15
1883-Bookof-EMU,Round,"Richmond, VA",1883,A Book of Worship,-77.45,37.55
1883-Duplex-EMU,Round,"Richmond, VA",1883,The Duplex Hymn and Tune Book,-77.45,37.55
1883-Holyvo-EMU,Round,"Dayton, OH",1883,Holy Voices,-84.1833,39.75
1883-Lovean-EMU,Seven-shape Aikin,"Savannah, GA",1883,Love and Praise,-81.1,32.0833
1883-Purede-EMU,Round,"Cincinnati, OH",1883,Pure Delight!,-84.45,39.15
1883-Select-EMU,Round,"Richmond, VA",1883,Selections for Social and Public Praise,-77.45,37.55
1883-Shaker-EMU,Round,"Shaker Village, NH",1883,Shaker Anthems and Hymns,-71.4833,43.35
1883-Songso-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO",1883,Songs of Free Grace,-84.45;-87.65;-90.1833,39.15;41.85;38.6167
1883-Teache-EMU,Round,"Cincinnati, OH;St. Louis, MO",1883,Teachers' Edition of the New Christian Hymn and Tune-book,-84.45;-90.1833,39.15;38.6167
1883-Triune-EMU,Seven-shape Aikin,"Dayton, VA",1883,Triune Hymnal,-78.9333,38.4
1883-Voiceo-EMU,Round,"Cincinnati, OH",1883,The Voice of Joy,-84.45,39.15
1884-Congre-EMU,Numeral staff,"Cincinnati, OH",1883,The Congregation,-84.45,39.15
1884-Consol-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",1884,Consolation,-84.45;-74;-87.65,39.15;40.7;41.85
1884-Everla-EMU,Round,"Galveston, TX",1884,The Everlasting Joy,-94.7833,29.3
1884-Gospel-EMU,Round,"Cincinnati, OH",1884,Gospel Music,-84.45,39.15
1884-Gratef-EMU,Round,"Cincinnati, OH",1884,Grateful Praise,-84.45,39.15
1884-Harves-EMU,Round,"Cincinnati, OH",1884,Harvest Bells No. 2,-84.45,39.15
1884-Hymnbo-EMU,Nil,"Philadelphia, PA",1884,The Hymn Book of the African Methodist Episcopal Church,-75.15,39.95
1884-Jesus1-EMU,Round,"Cincinnati, OH; New York, NY",1884,Jesus of Nazareth in Prophecy and Fulfillment,-84.45;-74,39.15;40.7
1884-Ourson-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",1884,Our Song World,-84.45;-74;-87.65,39.15;40.7;41.85
1884-Praise-EMU,Numeral staff,"Cincinnati, OH",1884,Praise and Rejoicing,-84.45,39.15
1884-Sabbat-EMU,Seven-shape Aikin,"Dayton, VA",1884,Sabbath Bells,-78.9333,38.4
1884-Temple-EMU,Seven-shape Aikin,"Cincinnati, OH;Chicago, IL;New York, NY",1884,The Temple of Song,-84.45;-87.65;-74,39.15;41.85;40.7
1885-Freshf-EMU,Round,"Boston, MA;New York, NY;Philadelphia, PA;Chicago, IL",1885,Fresh Flowers,-71.05;-74;-75.15;-87.65,42.35;40.7;39.95;41.85
1885-Golden-EMU,Round,"Romney, WV",1885,"The Golden Sheaf, No. 1",-78.75,39.3333
1885-Holyma-EMU,Round,"Columbia, TN",1885,Holy Manna,-87.0333,35.6
1885-Lofzan-EMU,Round,"Cincinnati, OH",1885,Lofzangen,-84.45,39.15
1885-Popula-EMU,Round,"Covington, KY",1885,Popular Hymns Revised,-84.5,39.0833
1885-Revise-EMU,Nil,"Richmond, VA",1885,Revised Hymns,-77.45,37.55
1885-Zionso-EMU,Seven-shape Aikin,"Dayton, VA",1885,The Zion Songster No. 1,-78.9333,38.4
1886-Carols-EMU,Round,"Atlanta, GA",1886,Carols of Grace,-84.3833,33.7333
1886-Childr-EMU,Round,"Cincinnati, OH",1886,The Children's Hallelujah,-84.45,39.15
1890-Gospel-EMU,Round;Numeral staff,"Barnesville, GA",1890,Gospel Voices,-84.15,33.05
1886-Greata-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",1886,The Great Awakening,-84.45;-87.65;-74,39.15;41.85;40.7
1886-Joyand-EMU,Round,"Cincinnati, OH",1886,Joy and Praise for Sunday-Schools,-84.45,39.15
1886-Newli1-EMU,Nil,"Nashville, TN",1886,New Life,-86.761,36.154
1886-Stream-EMU,Round,"Columbia, TN",1886,Streams of Mercy,-87.0333,35.6
1887-Songs1-EMU,Numeral staff,"Cincinnati, OH",1887,Songs of Glory No. 2,-84.45,39.15
1887-Songs2-EMU,Numeral staff,"Cincinnati, OH",1887,Songs of Gratitude,-84.45,39.15
1888-Gesang-EMU,Nil,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1888,Gesangbuch der Bischo??flichen Methodisten-Kirche,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1888-Hymnst-EMU,Seven-shape Aikin,"Dalton, GA",1888,"Hymns, Tunes and Gospel Songs",-84.9667,34.7667
1888-Ournew-EMU,Seven-shape Aikin,"Bowman, GA",1888,Our New Book,-83.0167,34.2
1888-Royalp-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",1888,Royal Praise for the Sunday School,-84.45;-87.65;-74,39.15;41.85;40.7
1888-Sabbat-EMU,Round,"Savannah, GA",1888,The Sabbath Hour,-81.1,32.0833
1888-Songso-EMU,Round,"Cincinnati, OH",1888,Songs of Rejoicing,-84.45,39.15
1892-Standa-EMU,Round,"Cincinnati, OH; Louisville, KY",1888,The Standard Church Hymnal,-84.45;-85.75,39.15;38.25
1889-Budsan-EMU,Round,"Baltimore, MD",1889,Buds and Blossoms for the Little Ones,-76.6,39.2833
1889-Christ-EMU,Round,"Nashville, TN",1889,Christian Hymns,-86.761,36.154
1889-Cumber-EMU,Round,"Nashville, TN",1889,The Cumberland Presbyterian Hymnal,-86.761,36.154
1889-Easte1-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",1889,Easter Selections for 1889,-84.45;-87.65;-74,39.15;41.85;40.7
1889-Evange-EMU,Nil,"Baltimore, MD",1889,Evangelical Lutheran Hymn Book,-76.6,39.2833
1889-Gospel-EMU,Round,"Cincinnati, OH",1889,The Gospel Alarm.,-84.45,39.15
1889-Hymnan-EMU,Seven-shape Aikin,"Nashville, TN",1889,"Hymn and Tune Book of the Methodist Episcopal Church, South",-86.761,36.154
1889-Hymnsf-EMU,Nil,"Baltimore, MD?",1889,"Hymns from ""Windows of Heaven"" Song Book",-76.6,39.2833
1889-Missio-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",nan,The Missionary Triumph,-84.45;-87.65;-74,39.15;41.85;40.7
1889-Newvoi-EMU,Round,"Dalton, GA",1889,The New Voice of Praise,-84.9667,34.7667
1889-Ourhym-EMU,Nil,"Nashville, TN",1889,Our Hymns and their Authors,-86.761,36.154
1889-Sacred-EMU,Round,"Andersonville, TN",1889,"Sacred Melodies, Revised",-84.0333,36.1833
1889-Songge-EMU,Seven-shape Aikin,"Temple, TX",1889,The Song Gem,-97.3333,31.0833
1889-Window-EMU,Round,"Baltimore, MD",1889,Windows of Heaven,-76.6,39.2833
188x-Songso-EMU,Round,"Washington, D. C.; South Bend, Ind.; New York, N. Y.",nan,Songs of the Message,-77;-86.25;-74,38.8333;41.6833;40.7
1890-Christ-EMU,Round,"Cincinnati, OH;New York, NY",1890,Christian Work Songs,-84.45;-74,39.15;40.7
1890-Mornin-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1890,Morning Stars,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1890-Pureso-EMU,Round,"Macon, GA;Nashville, TN;St. Louis, MO",1890,Pure Songs,-83.6167;-86.761;-90.1833,32.8333;36.154;38.6167
1892-Reviva-EMU,Round,"Atlanta, GA",1890,The Revival,-84.3833,33.7333
1890-YMCAgo-EMU,Round,"Chicago, IL",1890,YMCA Gospel Songs,-87.65,41.85
1891-Bright-EMU,Round,"Baltimore, MD",1891,Bright Blossoms,-76.6,39.2833
1891-Select-EMU,Nil,"Wilmington, DL",1891,Selected Hymns for Social Worship,-75.5333,39.7333
1891-Servic-EMU,Round,"Nashville, TN",1891,Service in Song,-86.761,36.154
1891-Songsf-EMU,Round,"Cincinnati, OH;New York, NY",1891,Songs for the Harvest Field,-84.45;-74,39.15;40.7
1891-Soothi-EMU,Round,"Kansas City, MO",1891,Soothing Songs,-94.5667,39.0833
1892-Gabrie-EMU,Round,"Louisville, KY",1892,Gabriel's Vineyard Songs,-85.75,38.25
1892-Songso-EMU,Round,"Richmond, VA",1892,Songs of the Covenant,-77.45,37.55
1892-Womans-EMU,,"Baltimore, MD",1892,The Woman's Hymnal,-76.6,39.2833
1892-Wordso-EMU,Seven-shape Aikin,"Nashville, TN",1892,Words of Truth,-86.761,36.154
1893-Epwort-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1893,Epworth Songs,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1893-Harpof-EMU,Round;Seven-shape Hood,"Petersburg, VA",1893,Harp of Zion,0,0
1893-Hearts-EMU,Round,"Cincinnati, OH;New York, NY",1893,Heart Songs,-84.45;-74,39.15;40.7
1893-Hymnso-EMU,Round,"Richmond, VA",1891,Hymns of the Ages,-77.45,37.55
1893-Inhisn-EMU,Round,"Baltimore, MD",1893,"In His Name, Series No. 1",-76.6,39.2833
1893-Lifean-EMU,Round,"Cincinnati, OH;New York, NY",1893,Life and Light,-84.45;-74,39.15;40.7
1893-McInto-EMU,Round,"Macon, GA",1893,McIntosh's Class and Chorus,-83.6167,32.8333
1893-Messen-EMU,Round,"Dayton, VA",1893,The Messenger of Song,-78.9333,38.4
1893-Musicf-EMU,Round;Seven-shape Hood,"St. Louis,  MO",1893,Music for the Seventh International and Second World's Sunday School Conventions,-90.1833,38.6167
1893-Psalms-EMU,Seven-shape Aikin,"Knoxville, Tenn.;Bridgewater, VA",1893,"Psalms, Hymns, and Spiritual Songs",-83.9167;-78.9667,35.95;38.3667
1894-Blosso-EMU,Round,"Dalton, GA;Dallas, TX;Huntingdon, PA",1894,Blossoms of Song,-84.9667;-96.8;-78,34.7667;32.7833;40.4833
1894-Bright-EMU,Round,"Vicksburg, MS",1894,Brightest Glory,-90.8667,32.35
1894-Crowni-EMU,Round,"Dalton, GA;Dallas, TX;Huntingdon, PA",1894,Crowning Vocalist,-84.9667;-96.8;-78,34.7667;32.7833;40.4833
1894-Lifean-EMU,Round,"Cincinnati, OH",1894,Life and Light No. 2,-84.45,39.15
1894-Reviva-EMU,Round,"Dalton, GA;Dallas, TX;Huntingdon, PA",1894,The Revival Choir,-84.9667;-96.8;-78,34.7667;32.7833;40.4833
1894-Select-EMU,Round,"Cincinnati, OH",1894,Selections from the Book of Psalms,-84.45,39.15
1895-Chris1-EMU,Round,"St. Louis, MO",1895,The Christian Hymnist,-90.1833,38.6167
1895-Glowin-EMU,Seven-shape Aikin,"Atlanta, GA",1895,Glowing Songs,-84.3833,33.7333
1895-Gospe1-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",1895,"Gospel Hymns, Nos. 1 to 6",-84.45;-74;-87.65,39.15;40.7;41.85
1895-Gospe2-EMU,Round,"Louisville, KY",1895,Gospel Gleaner,-85.75,38.25
1897-Nation-EMU,Round,"Nashville, TN",1895,National Gospel Voices,-86.761,36.154
1897-Little-EMU,Round,"Atlanta, GA;Cincinnati, OH;Kansas City, MO",1897,Little Light No. 2,-84.3833;-84.45;-94.5667,33.7333;39.15;39.0833
1897-Wonder-EMU,Round,"Baltimore, MD",1897,Wonderful Love,-76.6,39.2833
1898-Fillmo-EMU,Round,"Cincinnati, OH;New York, NY",1898,Fillmores' Sunday-School Songs No. I,-84.45;-74,39.15;40.7
1899-Fillmo-EMU,Round,"Cincinnati, OH;New York, NY",1898,Fillmores' Missionary Songs,-84.45;-74,39.15;40.7
1898-Gospel-EMU,Round,"Bridgewater, VA",1898,Gospel Songs and Hymns No. I,-78.9667,38.3667
1898-Happyv-EMU,Round,"Waco, TX",1898,Happy Voices No. 1,-97.1333,31.5333
1898-Hymnbo-EMU,Nil,"Nashville, TN",1898,"Hymn Book of the Methodist Episcopal Church, South",-86.761,36.154
190x-Missio-EMU,Round;Seven-shape Aikin,"Athens, GA",190X,Missionary Songs,-83.3667,33.95
1855-Liturg-BRU,Nil,"Baltimore, MD",1855,Liturgie und Gesangbuch,-76.6,39.2833
1859-Sacred-BRU,Round,"Boston, MA; New York, NY; Cincinnati, OH",1859,The Sacred Lyre,-71.05;-74;-84.45,42.35;40.7;39.15
1861-Contra-BRU,Nil,nan,nan,A Contraband Song,0,0
1864-Lieder-BRU,,"New York, NY; Cincinnati, OH",1864,Liedersammlung,-74;-84.45,40.7;39.15
1864-Singvo-BRU,,"Cincinnati, OH; Berlin",1864,Das Singv??gelein,-84.45;13.4,39.15;52.516667
1872-Happym-BRU,Nil,"Providence, RI",1872,A Happy Meeting,-71.4,41.8167
1874-Songso-BRU,Nil,nan,nan,Songs of the Tennesseeans,0,0
1875-Songfr-BRU,Nil,"Boston, MA",1875,A Song from Frederick Douglass,-71.05,42.35
1888-Reviva-BRU,,nan,nan,,0,0
1893-Collec-BRU,,"Chicago, IL",1893,A Collection of the Principle Melodies of the Synagogue,-87.65,41.85
1897-Spirit-BRU,Nil,"Boston, MA",1897,Spirituals,-71.05,42.35
18xx-Funera-BRU,Nil,"Boonsboro, MD",18xx,Funeral Hymn,-75.85,38.95
1903-Fillmo-BRU,,nan,nan,,0,0
1904-Worldf-BRU,Round,"Chicago, IL",1904,Williams' Colored Singers,-87.65,41.85
1908-Concor-BRU,,"Saint Louis, MO",1908,Concordia Ch??re.,-90.1833,38.6167
1911-Golden-BRU,,"Dallas, TX",1911,The Golden Sunshine,-96.8,32.7833
1911-Mostpo-BRU,Round,"New York City, NY",1911,The Most Popular Plantation Songs,-74,40.7
1912-Messen-BRU,,nan,nan,,0,0
1912-Oldtim-BRU,Seven-shape Aikin,Texarkana,1912,Old-Time Religion Songs,0,0
1912-Somecu-BRU,Nil,"College Station, TX",1912,Some Current Folk-Songs of the Negro,-96.3333,30.6167
1918-Darkey-BRU,Round,"New York City, NY",1918,Darkey Spirituals,-74,40.7
1918-Negros-BRU,Round,"Hollywood, CA;Boston, MA",1918,Negro Spirituals of the South,-118.3167;-71.05,34.0833;42.35
1918-Oldmel-BRU,,"Chicago, IL",1918,Old Melodies of the South,-87.65,41.85
1920-Baptis-BRU,Nil,"[Honaker, VA]",1920,The Baptist Song Book,-81.9667,37
1923-Ohthel-BRU,Round,"Cincinnati, OH;New York, NY;London, England",1923,"Oh, The Land I Am Bound For",-84.45;-74;-.093145,39.15;40.7;51.514248
1923-Spirit-BRU,,"London, England",1923,Spirituals,-.093145,51.514248
1924-Deepri-BRU,Round,"New York, NY",1924,Deep River,-74,40.7
1924-Wereyo-BRU,Round,New York,1924,Were You There?,-74,40.7
1925-OLordI-BRU,Round,"Boston, MA",1925,"O Lord, I Done Done",-71.05,42.35
1925-TenNeg-BRU,,"Boston, MA;New York, NY",1925,Ten Negro Spirituals,-71.05;-73.9667,42.35;40.7833
1850-Baptis-EMU,,"Cincinnati, OH",1850,A Baptist Hymn-book,-84.45,39.15
190x-Nation-MTS,,"Nashville, TN",1906,National G. V. Hymnal,-86.761,36.154
19xx-Tobacc-MTS,,"Raleigh, NC",19xx,The Tobacco Tags' Favorite Hymns,-78.6333,35.7667
19xx-Godlea-MTS,,"Chicago, IL",19xx,God Leads His Dear Children Along,-87.65,41.85
1932-Fortys-MTS,Round,"Chicago, IL",1932,Forty Spirituals,-87.65,41.85
192x-Gospel-MTS,Round;Seven-shape Aikin,"Chicago, IL",192x,Gospel Quintet Songs,-87.65,41.85
1928-Sparkl-MTS,Seven-shape Aikin,"Jacksonville, TX; Chattanooga, TN",1928,Sparkling Gems,-95.2667;-85.3,31.95;35.0333
1928-Heaven-MTS,Seven-shape Aikin,"Athens, GA",1928,Heavenly Echoes No. 12,-83.3667,33.95
1925-Womens-MTS,Round,"Dayton, OH; New York, New York; Chicago, IL",1925,Women's New Gospel Quartets,-84.1833,39.75
1925-Winnin-MTS,Seven-shape Aikin,"Asheville, NC",1925,Winning Praise,-82.55,35.6
1925-Songs2-MTS,Round,"Los Angeles, CA",1925,Songs of Realization,-118.2333,34.05
1925-Songs1-MTS,Seven-shape Aikin,"Athens, AL",1925,Songs of Love,-86.9667,34.8
1925-Signal-MTS,Seven-shape Aikin,"Knoxville, TN; Texarkana, AR; Abilene, TX",1925,Signal Bells,-83.9167;-99.7167,35.95;32.4333
1926-Scelta-MTS,Seven-shape Aikin,"Hudson, NC",1925,Scelta Songs,-81.4833,35.8333
1925-Musikl-MTS,Round,"Little Rock, AR",1925,Musiklan,-92.2833,34.7333
1925-Master-MTS,Round,"Knoxville, TN",1925,The Master's Praise,-83.9167,35.95
1925-Living-MTS,Round,"Chicago, IL",1925,Living Gospel Songs & Choruses,-87.65,41.85
1925-Joybe2-MTS,Seven-shape Aikin,"Chattanooga, TN",1925,Joy Bells of Glory,-85.3,35.0333
1925-Joybe1-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1925,Joy Bells,-97.1333;-90.0333,31.5333;35.1333
1925-Jehova-MTS,Round,"Fort Worth, TX",1925,Jehovah's Praise,-97.3167,32.7167
1925-Instit-MTS,Round,"New York, NY;Cincinnati, OH",1925,Institute Hymns and Songs,-74;-84.45,40.7;39.15
1925-Heaven-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1925,Heavenly Praises,-87.3333,35.2333
1925-Harbor-MTS,Seven-shape Aikin,"Dallas, TX;Pangburn, AR;Chattanooga, TN",1925,Harbor Bells,-96.8;-91.8333;-85.3,32.7833;35.4167;35.0333
1925-Aframe-MTS,Round,"New York, NY",1925,Aframerican Hymn,-74,40.7
1924-Wonder-MTS,Round,"Cincinnati, OH",1924,Wonder Hymns of Faith,-84.45,39.15
1924-Songsf-MTS,Round,"Cincinnati, OH",1924,Songs for Soul-winning,-84.45,39.15
1924-Livin2-MTS,Seven-shape Aikin,"Hudson, NC",1924,Living Words,-81.4833,35.8333
1924-Livin1-MTS,Seven-shape Aikin,"Lawrenceburg, TN;Jacksonville, TX;Greenville, SC",1924,Living Songs,-87.3333;-95.2667;-82.3833,35.2333;31.95;34.85
1924-Joytot-MTS,Seven-shape Aikin,"Little Rock, AR;Temple, TX;Clovis, NM;Greenville, TN;Gainesville, GA",1924,Joy to the World,-92.2833;-97.3333;-103.2;-86.8833;-83.8167,34.7333;31.0833;34.4;36.2833;34.2833
1924-Hisvoi-MTS,Seven-shape Aikin,"Lawrenceburg, TN;Jacksonville, TX;Greenville, SC",1924,His Voice of Love,-87.3333;-95.2667;-82.3833,35.2333;31.95;34.85
1924-Herald-MTS,Seven-shape Aikin,"Oklahoma City, OK",1924,Herald of Song No. 1,-97.5,35.4667
