PID,link
1904-Worldf-BRU,/s/ssdl/item/406
1908-Concor-BRU,/s/ssdl/item/407
1911-Golden-BRU,/s/ssdl/item/408
1911-Mostpo-BRU,/s/ssdl/item/409
1912-Messen-BRU,/s/ssdl/item/410
1912-Oldtim-BRU,/s/ssdl/item/411
1912-Somecu-BRU,/s/ssdl/item/412
1918-Darkey-BRU,/s/ssdl/item/433
1918-Negros-BRU,/s/ssdl/item/434
1918-Oldmel-BRU,/s/ssdl/item/435
1920-Baptis-BRU,/s/ssdl/item/436
1923-Ohthel-BRU,/s/ssdl/item/437
1923-Spirit-BRU,/s/ssdl/item/1855
1924-Deepri-BRU,/s/ssdl/item/439
1924-Wereyo-BRU,/s/ssdl/item/440
1925-OLordI-BRU,/s/ssdl/item/441
1925-TenNeg-BRU,/s/ssdl/item/442
1850-Baptis-EMU,/s/ssdl/item/453
190x-Nation-MTS,/s/ssdl/item/368
19xx-Tobacc-MTS,/s/ssdl/item/459
19xx-Godlea-MTS,/s/ssdl/item/460
1932-Fortys-MTS,/s/ssdl/item/461
192x-Gospel-MTS,/s/ssdl/item/2515
1928-Sparkl-MTS,/s/ssdl/item/463
1928-Heaven-MTS,/s/ssdl/item/1578
1925-Womens-MTS,/s/ssdl/item/465
1925-Winnin-MTS,/s/ssdl/item/466
1925-Songs2-MTS,/s/ssdl/item/1541
1925-Songs1-MTS,/s/ssdl/item/468
1925-Signal-MTS,/s/ssdl/item/469
1926-Scelta-MTS,/s/ssdl/item/470
1925-Musikl-MTS,/s/ssdl/item/471
1925-Master-MTS,/s/ssdl/item/472
1925-Living-MTS,/s/ssdl/item/473
1925-Joybe2-MTS,/s/ssdl/item/474
1925-Joybe1-MTS,/s/ssdl/item/475
1925-Jehova-MTS,/s/ssdl/item/476
1925-Instit-MTS,/s/ssdl/item/477
1925-Heaven-MTS,/s/ssdl/item/1578
1925-Harbor-MTS,/s/ssdl/item/2383
1925-Aframe-MTS,/s/ssdl/item/500
1924-Wonder-MTS,/s/ssdl/item/501
1924-Songsf-MTS,/s/ssdl/item/502
1924-Livin2-MTS,/s/ssdl/item/503
1924-Livin1-MTS,/s/ssdl/item/504
1924-Joytot-MTS,/s/ssdl/item/505
1924-Hisvoi-MTS,/s/ssdl/item/506
1924-Herald-MTS,/s/ssdl/item/507
1924-Heave2-MTS,/s/ssdl/item/508
1924-Heave1-MTS,/s/ssdl/item/509
1924-Gospel-MTS,/s/ssdl/item/2536
1924-Easter-MTS,/s/ssdl/item/511
1924-Collec-MTS,/s/ssdl/item/512
1924-Christ-MTS,/s/ssdl/item/1859
1924-Allfor-MTS,/s/ssdl/item/514
1923-Songla-MTS,/s/ssdl/item/515
1923-Select-MTS,/s/ssdl/item/516
1923-Newmel-MTS,/s/ssdl/item/517
1923-Kingof-MTS,/s/ssdl/item/538
1923-Junior-MTS,/s/ssdl/item/2159
1923-Callch-MTS,/s/ssdl/item/540
1923-Awaken-MTS,/s/ssdl/item/541
1922-Songso-MTS,/s/ssdl/item/1821
1922-Revive-MTS,/s/ssdl/item/543
1922-Ninety-MTS,/s/ssdl/item/544
1922-Hymnsw-MTS,/s/ssdl/item/545
1922-Hallel-MTS,/s/ssdl/item/546
1922-Glorys-MTS,/s/ssdl/item/547
1922-Beulah-MTS,/s/ssdl/item/548
1927-Vaugha-MTS,/s/ssdl/item/549
1921-Songsf-MTS,/s/ssdl/item/550
1921-Reviva-MTS,/s/ssdl/item/1815
1921-Musict-MTS,/s/ssdl/item/552
1921-Glorye-MTS,/s/ssdl/item/553
1921-Glorio-MTS,/s/ssdl/item/554
1921-Elmhur-MTS,/s/ssdl/item/2219
1921-Alexan-MTS,/s/ssdl/item/556
1920-Songs3-MTS,/s/ssdl/item/557
1920-Songs1-MTS,/s/ssdl/item/1789
1920-Songan-MTS,/s/ssdl/item/579
1920-Practi-MTS,/s/ssdl/item/580
1920-Newper-MTS,/s/ssdl/item/581
1920-Highwa-MTS,/s/ssdl/item/582
1920-Heaven-MTS,/s/ssdl/item/1578
1918-Harves-MTS,/s/ssdl/item/584
1920-Evange-MTS,/s/ssdl/item/585
1920-Bellso-MTS,/s/ssdl/item/586
1919-Trutha-MTS,/s/ssdl/item/587
1919-Songso-MTS,/s/ssdl/item/1780
1919-Crowns-MTS,/s/ssdl/item/589
1919-Carols-MTS,/s/ssdl/item/590
1914-Victor-MTS,/s/ssdl/item/125
1918-Towner-MTS,/s/ssdl/item/592
1919-Shinin-MTS,/s/ssdl/item/593
1918-Reviv2-MTS,/s/ssdl/item/594
1918-Reviv1-MTS,/s/ssdl/item/595
1918-Planta-MTS,/s/ssdl/item/596
1918-Heaven-MTS,/s/ssdl/item/1578
1918-Gladne-MTS,/s/ssdl/item/618
1918-Beauti-MTS,/s/ssdl/item/619
1917-Servic-MTS,/s/ssdl/item/620
1917-Praise-MTS,/s/ssdl/item/959
1917-Nearth-MTS,/s/ssdl/item/622
1917-Modern-MTS,/s/ssdl/item/623
1917-Guidin-MTS,/s/ssdl/item/624
1917-Glorye-MTS,/s/ssdl/item/625
1917-Garden-MTS,/s/ssdl/item/626
1917-Eureka-MTS,/s/ssdl/item/2547
1916-Praise-MTS,/s/ssdl/item/1736
1916-Gleane-MTS,/s/ssdl/item/629
1916-Gladne-MTS,/s/ssdl/item/630
1915-Soulwi-MTS,/s/ssdl/item/631
1915-Songso-MTS,/s/ssdl/item/632
1915-Immanu-MTS,/s/ssdl/item/633
1915-Heaven-MTS,/s/ssdl/item/1578
1915-HamRam-MTS,/s/ssdl/item/635
1915-Carolc-MTS,/s/ssdl/item/636
1914-Tenles-MTS,/s/ssdl/item/637
1914-Praise-MTS,/s/ssdl/item/1704
1914-Perenn-MTS,/s/ssdl/item/659
1914-Eureka-MTS,/s/ssdl/item/2547
1913-Worlde-MTS,/s/ssdl/item/661
1913-Redemp-MTS,/s/ssdl/item/662
1913-Planta-MTS,/s/ssdl/item/1696
1913-Newson-MTS,/s/ssdl/item/664
1913-Gospel-MTS,/s/ssdl/item/2426
1912-Window-MTS,/s/ssdl/item/666
1912-Sunnys-MTS,/s/ssdl/item/667
1912-Songso-MTS,/s/ssdl/item/668
1912-Songan-MTS,/s/ssdl/item/669
1912-Newrev-MTS,/s/ssdl/item/670
1912-Harpof-MTS,/s/ssdl/item/671
1912-Eureka-MTS,/s/ssdl/item/2547
1912-Alexan-MTS,/s/ssdl/item/673
190x-Vaugha-MTS,/s/ssdl/item/674
1911-Songso-MTS,/s/ssdl/item/1660
1911-Quarte-MTS,/s/ssdl/item/676
1911-Jewels-MTS,/s/ssdl/item/677
1911-Crowni-MTS,/s/ssdl/item/698
1910-Voices-MTS,/s/ssdl/item/1654
1913-Happyv-MTS,/s/ssdl/item/700
1909-Window-MTS,/s/ssdl/item/701
1909-Newonw-MTS,/s/ssdl/item/702
1909-Evange-MTS,/s/ssdl/item/703
1909-Cumber-MTS,/s/ssdl/item/704
1908-Twelft-MTS,/s/ssdl/item/705
1908-Songso-MTS,/s/ssdl/item/1619
1908-Gesang-MTS,/s/ssdl/item/833
1907-Select-MTS,/s/ssdl/item/516
1907-Pilger-MTS,/s/ssdl/item/709
1907-Patton-MTS,/s/ssdl/item/710
1907-Organo-MTS,/s/ssdl/item/711
1907-Happyd-MTS,/s/ssdl/item/712
1907-Bestof-MTS,/s/ssdl/item/1509
1906-Starof-MTS,/s/ssdl/item/714
1906-Mehrst-MTS,/s/ssdl/item/715
1906-Living-MTS,/s/ssdl/item/716
1906-Gladho-MTS,/s/ssdl/item/717
1906-GVhymn-MTS,/s/ssdl/item/738
1905-Winnow-MTS,/s/ssdl/item/739
1905-Soulso-MTS,/s/ssdl/item/740
1905-Songs2-MTS,/s/ssdl/item/741
1905-Songs1-MTS,/s/ssdl/item/742
1905-Eureka-MTS,/s/ssdl/item/2547
1904-Sunlig-MTS,/s/ssdl/item/744
1904-Songso-MTS,/s/ssdl/item/744
1904-Practi-MTS,/s/ssdl/item/746
1904-Perrys-MTS,/s/ssdl/item/747
1904-Living-MTS,/s/ssdl/item/748
1903-Hymnso-MTS,/s/ssdl/item/1109
1902-Primit-MTS,/s/ssdl/item/750
1902-Gemsfo-MTS,/s/ssdl/item/751
1902-Favori-MTS,/s/ssdl/item/752
1902-Bibles-MTS,/s/ssdl/item/753
1901-Window-MTS,/s/ssdl/item/754
1902-Songso-MTS,/s/ssdl/item/1196
1901-Psalms-MTS,/s/ssdl/item/756
1901-Hymnso-MTS,/s/ssdl/item/757
1900-Practi-MTS,/s/ssdl/item/778
1900-Pentec-MTS,/s/ssdl/item/779
1900-Gospel-MTS,/s/ssdl/item/1456
1900-Epwort-MTS,/s/ssdl/item/781
1900-Dortch-MTS,/s/ssdl/item/782
1899-Storyo-MTS,/s/ssdl/item/783
1899-Psalms-MTS,/s/ssdl/item/784
1899-Highwa-MTS,/s/ssdl/item/785
1899-Gospel-MTS,/s/ssdl/item/783
1898-Silver-MTS,/s/ssdl/item/787
1898-Golden-MTS,/s/ssdl/item/788
1898-Fillmo-MTS,/s/ssdl/item/363
1897-Select-MTS,/s/ssdl/item/790
1897-Seedso-MTS,/s/ssdl/item/791
1897-Romanh-MTS,/s/ssdl/item/792
1897-Anthem-MTS,/s/ssdl/item/795
1896-Window-MTS,/s/ssdl/item/794
1896-Anthem-MTS,/s/ssdl/item/795
1895-Songof-MTS,/s/ssdl/item/796
1895-Psalms-MTS,/s/ssdl/item/797
1895-Dortch-MTS,/s/ssdl/item/782
1894-Treble-MTS,/s/ssdl/item/819
1894-PerleS-MTS,/s/ssdl/item/820
1894-Lieder-MTS,/s/ssdl/item/821
1893-Unfadi-MTS,/s/ssdl/item/822
1893-Blessi-MTS,/s/ssdl/item/823
1892-Whiter-MTS,/s/ssdl/item/824
1892-Trieda-MTS,/s/ssdl/item/825
1892-Songsa-MTS,/s/ssdl/item/826
1892-Little-MTS,/s/ssdl/item/827
1891-Cabina-MTS,/s/ssdl/item/828
1889-Songso-MTS,/s/ssdl/item/829
1889-Herber-MTS,/s/ssdl/item/830
1888-Modern-MTS,/s/ssdl/item/831
1888-Garner-MTS,/s/ssdl/item/832
1888-Deutsc-MTS,/s/ssdl/item/833
1887-Triump-MTS,/s/ssdl/item/834
1887-Songso-MTS,/s/ssdl/item/835
1887-Musica-MTS,/s/ssdl/item/836
1887-Empire-MTS,/s/ssdl/item/837
1886-Flower-MTS,/s/ssdl/item/858
1885-McPhai-MTS,/s/ssdl/item/859
1885-Herber-MTS,/s/ssdl/item/860
1884-Lieder-MTS,/s/ssdl/item/821
1884-Englis-MTS,/s/ssdl/item/862
1883-Hallel-MTS,/s/ssdl/item/863
1882-Tribut-MTS,/s/ssdl/item/864
1882-Songso-MTS,/s/ssdl/item/1339
1882-Lieder-MTS,/s/ssdl/item/821
1882-Davids-MTS,/s/ssdl/item/867
1881-Hearta-MTS,/s/ssdl/item/868
1881-Gemofg-MTS,/s/ssdl/item/869
1880-Undert-MTS,/s/ssdl/item/870
1880-Gateso-MTS,/s/ssdl/item/871
1878-Univer-MTS,/s/ssdl/item/872
1878-Precio-MTS,/s/ssdl/item/873
1878-Heaven-MTS,/s/ssdl/item/1578
1878-Harves-MTS,/s/ssdl/item/875
1877-Songso-MTS,/s/ssdl/item/876
1876-Spirit-MTS,/s/ssdl/item/89
1876-Songhe-MTS,/s/ssdl/item/898
1874-Songer-MTS,/s/ssdl/item/899
1874-Melodi-MTS,/s/ssdl/item/900
1874-Corone-MTS,/s/ssdl/item/901
1874-Cabina-MTS,/s/ssdl/item/902
1873-Manner-MTS,/s/ssdl/item/903
1872-Puredi-MTS,/s/ssdl/item/904
1871-Truesi-MTS,/s/ssdl/item/905
1871-Crowno-MTS,/s/ssdl/item/906
1871-Charmc-MTS,/s/ssdl/item/907
1870-WestVi-MTS,/s/ssdl/item/908
1870-Sacred-MTS,/s/ssdl/item/908
1869-Christ-MTS,/s/ssdl/item/910
1867-Songso-MTS,/s/ssdl/item/1328
1867-Jugend-MTS,/s/ssdl/item/912
1867-Chants-MTS,/s/ssdl/item/1328
1864-Devoti-MTS,/s/ssdl/item/914
1860-Church-MTS,/s/ssdl/item/983
1859-Songsf-MTS,/s/ssdl/item/916
1854-Church-MTS,/s/ssdl/item/1545
1853-Timbre-MTS,/s/ssdl/item/938
1853-Harpof-MTS,/s/ssdl/item/939
1852-Romber-MTS,/s/ssdl/item/940
1850-Golden-MTS,/s/ssdl/item/941
1843-Manual-MTS,/s/ssdl/item/942
1833-Select-UTL,/s/ssdl/item/948
1846-Cherok-UTL,/s/ssdl/item/949
1860-Maskok-UTL,/s/ssdl/item/950
1866-Cherok-UTL,/s/ssdl/item/951
1875-Gospel-UTL,/s/ssdl/item/952
1880-Nakcok-UTL,/s/ssdl/item/953
188x-Mvskok-UTL,/s/ssdl/item/954
1887-Gospel-UTL,/s/ssdl/item/955
1892-Nusdvu-UTL,/s/ssdl/item/956
1906-Tsalag-UTL,/s/ssdl/item/957
1910-Baptis-UTL,/s/ssdl/item/958
1917-Mvskok-UTL,/s/ssdl/item/959
1920-Hallel-UTL,/s/ssdl/item/960
1926-Nakcok-UTL,/s/ssdl/item/961
1847-Sacred-SBT,/s/ssdl/item/2143
1851-Songso-SBT,/s/ssdl/item/1544
1853-Hymnsf-SBT,/s/ssdl/item/978
1854-Sweets-SBT,/s/ssdl/item/2100
1856-Simple-SBT,/s/ssdl/item/980
1857-Annive-SBT,/s/ssdl/item/981
1859-HymnsF-SBT,/s/ssdl/item/982
1860-Hymnss-SBT,/s/ssdl/item/983
1862-Sunday-SBT,/s/ssdl/item/43
1865-Sunday-SBT,/s/ssdl/item/45
1867-Gladti-SBT,/s/ssdl/item/986
1870-Vocali-SBT,/s/ssdl/item/987
1871-Linton-SBT,/s/ssdl/item/988
1871-NewChr-SBT,/s/ssdl/item/989
1873-NewBa2-SBT,/s/ssdl/item/990
1878-Newgos-SBT,/s/ssdl/item/991
1881-Nearer-SBT,/s/ssdl/item/992
1897-Select-SBT,/s/ssdl/item/790
186x-Little-SBT,/s/ssdl/item/994
1865-Newcel-SBT,/s/ssdl/item/995
190x-Callne-SBT,/s/ssdl/item/1016
1894-Hymnss-SBT,/s/ssdl/item/1017
1919-Whenmi-SBT,/s/ssdl/item/1018
1884-Kleine-SBT,/s/ssdl/item/1019
1887-Hymnsn-SBT,/s/ssdl/item/1020
1888-Favori-SBT,/s/ssdl/item/1021
1889-Stouth-SBT,/s/ssdl/item/1022
1891-Choice-SBT,/s/ssdl/item/1023
1891-Hymnsn-SBT,/s/ssdl/item/1024
1892-Manly1-SBT,/s/ssdl/item/1025
1892-Manly2-SBT,/s/ssdl/item/1026
1895-Dawnin-SBT,/s/ssdl/item/1027
1895-Spirit-SBT,/s/ssdl/item/1028
1899-Salvat-SBT,/s/ssdl/item/1029
1900-Church-SBT,/s/ssdl/item/1456
1900-Sacre1-SBT,/s/ssdl/item/1031
1901-Lastin-SBT,/s/ssdl/item/1032
1901-Sunday-SBT,/s/ssdl/item/1206
1902-Sacred-SBT,/s/ssdl/item/1492
1904-Praise-SBT,/s/ssdl/item/1495
1905-Newson-SBT,/s/ssdl/item/1056
1908-Gemsof-SBT,/s/ssdl/item/1057
1908-Progra-SBT,/s/ssdl/item/1058
1909-Melodi-SBT,/s/ssdl/item/1059
1909-Newglo-SBT,/s/ssdl/item/1060
1909-Primit-SBT,/s/ssdl/item/1061
1909-Singet-SBT,/s/ssdl/item/1062
1909-Starof-SBT,/s/ssdl/item/1063
1912-Bestre-SBT,/s/ssdl/item/1064
1913-Emanue-SBT,/s/ssdl/item/1065
1913-Songsa-SBT,/s/ssdl/item/1066
1914-Songso-SBT,/s/ssdl/item/1067
1914-Studen-SBT,/s/ssdl/item/1068
1915-Kingof-SBT,/s/ssdl/item/1069
1915-Redemp-SBT,/s/ssdl/item/1070
1915-Songha-SBT,/s/ssdl/item/1071
1918-Northf-SBT,/s/ssdl/item/1072
1919-Hesju1-SBT,/s/ssdl/item/1073
1919-Hesju2-SBT,/s/ssdl/item/1074
1920-Gospel-SBT,/s/ssdl/item/1789
1923-Silver-SBT,/s/ssdl/item/1096
1924-Ourjoy-SBT,/s/ssdl/item/1097
1925-Hymnso-SBT,/s/ssdl/item/2211
1925-KingJe-SBT,/s/ssdl/item/1099
1925-Singhi-SBT,/s/ssdl/item/1100
1931-Evange-SBT,/s/ssdl/item/1101
1931-Glorio-SBT,/s/ssdl/item/1102
1857-Notesa-SBT,/s/ssdl/item/1103
1888-Temple-SBT,/s/ssdl/item/1104
1900-Newson-SBT,/s/ssdl/item/1105
1900-Sacre2-SBT,/s/ssdl/item/1106
1905-Psalli-SBT,/s/ssdl/item/1107
19xx-Robins-SBT,/s/ssdl/item/1108
1903-Hymnso-SBT,/s/ssdl/item/1109
1908-Reviva-SBT,/s/ssdl/item/1110
1911-Harpof-SBT,/s/ssdl/item/1111
1911-Newson-SBT,/s/ssdl/item/1658
1914-Glorio-SBT,/s/ssdl/item/1113
1916-Gospel-SBT,/s/ssdl/item/1247
1919-Hymnso-SBT,/s/ssdl/item/1115
1919-Majest-SBT,/s/ssdl/item/1136
1929-Souli1-SBT,/s/ssdl/item/1137
1929-Souli2-SBT,/s/ssdl/item/1138
1924-Gospel-SBT,/s/ssdl/item/1139
1924-Gracea-SBT,/s/ssdl/item/1140
1924-Songpr-SBT,/s/ssdl/item/1141
1925-Christ-SBT,/s/ssdl/item/1867
1910-Reviva-SBT,/s/ssdl/item/2362
1873-Amaran-UKY,/s/ssdl/item/1152
1900-Beauti-UKY,/s/ssdl/item/1153
1914-Carmin-UKY,/s/ssdl/item/1154
1871-Songki-UKY,/s/ssdl/item/1155
1874-Hallow-UKY,/s/ssdl/item/1156
1878-Hymna2-UKY,/s/ssdl/item/1157
1879-Hourso-UKY,/s/ssdl/item/1158
1890-Finest-UKY,/s/ssdl/item/1159
1843-Dupuys-UKY,/s/ssdl/item/1160
1850-Hymnsf-UKY,/s/ssdl/item/1161
1851-Christ-UKY,/s/ssdl/item/1324
1858-Christ-UKY,/s/ssdl/item/1163
1866-Christ-UKY,/s/ssdl/item/1164
1872-Collec-UKY,/s/ssdl/item/1165
1872-Gloryc-UKY,/s/ssdl/item/1166
1878-Hymna1-UKY,/s/ssdl/item/1167
